Timestamp,UUID,Query,Step,Input Tokens,Output Tokens,Provider
2026-09-03T08:34:34.556339,cb97e6d8-a2dd-4542-970a-0b33364ff938,"In the case of State of Rajasthan vs. Teg Bahadur & Ors., what were the key arguments presented by the counsel for the appellant and the respondents-accused regarding the reliability of evidence and the application of Section 113-B of the Evidence Act?",intent_classification,427,229,groq
2026-09-03T08:34:48.756131,cb97e6d8-a2dd-4542-970a-0b33364ff938,"In the case of State of Rajasthan vs. Teg Bahadur & Ors., what were the key arguments presented by the counsel for the appellant and the respondents-accused regarding the reliability of evidence and the application of Section 113-B of the Evidence Act?",answer_generation,6478,1395,sarvam
2026-09-03T08:42:46.289866,c885d290-332a-48ef-b1cb-c7c430913200,"In the case of State of Rajasthan vs. Teg Bahadur & Ors., what were the key arguments presented by the counsel for the appellant and the respondents-accused regarding the reliability of evidence and the application of Section 113-B of the Evidence Act?",intent_classification,427,202,groq
2026-09-03T08:43:12.828955,c885d290-332a-48ef-b1cb-c7c430913200,"In the case of State of Rajasthan vs. Teg Bahadur & Ors., what were the key arguments presented by the counsel for the appellant and the respondents-accused regarding the reliability of evidence and the application of Section 113-B of the Evidence Act?",answer_generation,6478,3267,sarvam
2026-09-03T10:18:07.891453,f8b6ffd4-d4b9-498d-a23d-583f90fd56df,"In the case of State of Rajasthan vs. Teg Bahadur & Ors., what were the key arguments presented by the counsel for the appellant and the respondents-accused regarding the reliability of evidence and the application of Section 113-B of the Evidence Act?",intent_classification,427,247,groq,1.0.0
2026-09-03T10:18:30.068072,f8b6ffd4-d4b9-498d-a23d-583f90fd56df,"In the case of State of Rajasthan vs. Teg Bahadur & Ors., what were the key arguments presented by the counsel for the appellant and the respondents-accused regarding the reliability of evidence and the application of Section 113-B of the Evidence Act?",answer_generation,6478,2694,sarvam,1.0.0
2026-09-05T10:18:47.663461,49043602-f4a2-450e-9dba-ba164aafd747,"In the case of State of Rajasthan vs. Teg Bahadur & Ors., what were the key arguments presented by the counsel for the appellant and the respondents-accused regarding the reliability of evidence and the application of Section 113-B of the Evidence Act?",intent_classification,427,229,groq,1.0.0
2026-09-05T10:19:07.626072,49043602-f4a2-450e-9dba-ba164aafd747,"In the case of State of Rajasthan vs. Teg Bahadur & Ors., what were the key arguments presented by the counsel for the appellant and the respondents-accused regarding the reliability of evidence and the application of Section 113-B of the Evidence Act?",answer_generation,6478,2305,sarvam,1.0.0
2026-09-05T10:22:50.669594,6025691c-2211-46f0-a41d-06190a6814e5,"In the case of State of Rajasthan vs. Teg Bahadur & Ors., what were the key arguments presented by the counsel for the appellant and the respondents-accused regarding the reliability of evidence and the application of Section 113-B of the Evidence Act?",intent_classification,427,227,groq,1.0.0
2026-09-05T10:23:16.274250,6025691c-2211-46f0-a41d-06190a6814e5,"In the case of State of Rajasthan vs. Teg Bahadur & Ors., what were the key arguments presented by the counsel for the appellant and the respondents-accused regarding the reliability of evidence and the application of Section 113-B of the Evidence Act?",answer_generation,6478,2916,sarvam,1.0.0
2026-09-05T10:30:04.851317,34ce6c6a-e7d7-4551-8bc1-9c887b089d1c,"In a custody dispute between the father and the remarried mother, what are the key considerations for the welfare of the child according to Indian law?",intent_classification,445,287,groq,1.0.0
2026-09-05T10:30:44.382629,34ce6c6a-e7d7-4551-8bc1-9c887b089d1c,"In a custody dispute between the father and the remarried mother, what are the key considerations for the welfare of the child according to Indian law?",answer_generation,6070,4096,sarvam,1.0.0
2026-09-05T10:42:48.490422,36bb557d-4e7f-492f-966a-a5d345e15561,"In a custody dispute between the father and the remarried mother, what are the key considerations for the welfare of the child according to Indian law?",intent_classification,445,413,groq,1.0.0
2026-09-05T10:43:30.428730,36bb557d-4e7f-492f-966a-a5d345e15561,"In a custody dispute between the father and the remarried mother, what are the key considerations for the welfare of the child according to Indian law?",answer_generation,6615,3956,sarvam,1.0.0
